name,planned_n_steps,executed_n_steps,execution_time,simulation_exceptions,contract_exceptions,mechanism_exceptions,other_exceptions,n_agent_exceptions,n_negotiator_exceptions,mean_agent_time,n_neg_requests_sent,n_neg_requests_received,n_neg_requests_rejected,n_negs_registered,n_negs_succeeded,n_negs_failed,n_negs_timedout,n_negs_initiated,n_contracts_concluded,n_contracts_signed,n_contracts_dropped,n_breaches_received,n_breaches_committed,n_contracts_erred,n_contracts_nullified,n_contracts_breached,n_contracts_executed
000420251205H113942444814iCAZ_U-P-OnR9.14,100,100,57.45265993400244,[],[],[],[],0,0,3.486027708277106e-07,1432,2864,0,2864,792,2072,138,1432,2314,4596,4,0,0,0,0,0,2294
000020251205H113942142818qBUX_Po-Pr-OxsH.01,82,82,78.41774194400205,[],[],[],[],0,0,2.9811823932344423e-07,2501,5002,0,5002,1860,3142,28,2501,3234,6432,196,0,0,0,0,0,3020
000420251205H113942444814iCAZ_LitaAgentY-LitaAgentP-KqRx.12,100,100,46.31362095000077,[],[],[],[],0,0,2.0030056475661694e-07,1600,3200,0,3200,742,2458,204,1600,2264,4496,0,0,0,0,0,0,2248
000020251205H113942142818qBUX_LitaAgentY-LitaAgentYR-PCHr.02,82,82,69.54271769699699,[],[],[],[],0,0,3.0088053523179365e-07,2909,5818,0,5818,1868,3948,180,2909,3242,6448,138,0,0,0,0,0,3086
000220251205H1139423084075ixF_LitaAgentN-LitaAgentP-KRpb.07,58,58,12.292599104999681,[],[],[],[],0,0,3.051987732760608e-07,928,1856,0,1856,468,1388,116,928,1356,2680,0,0,0,0,0,0,1340
000120251205H113942213462aczN_L-Po-PrE2Y.04,81,81,699.171038389999,[],[],[],[],0,0,2.88470319527037e-07,2568,5136,0,5136,2550,2586,436,2568,4126,8212,160,0,0,0,0,0,3946
000020251205H113942142818qBUX_LitaAgentC-LitaAgentP-PFdo.00,82,82,70.52951471399865,[],[],[],[],0,0,2.9623547829139756e-07,2908,5816,0,5816,1990,3826,18,2908,3364,6692,128,0,0,0,0,0,3218
000120251205H113942213462aczN_LitaAgentY-LitaAgentP-KpnR.03,81,81,110.82907671599969,[],[],[],[],0,0,3.0658745398635374e-07,2926,5852,0,5852,2150,3702,800,2926,3726,7412,138,0,0,0,0,0,3568
000020251205H113942142818qBUX_LitaAgentY-LitaAgentC-K986.00,82,82,481.4581772579986,[],[],[],[],0,0,2.6594138676848484e-07,2790,5580,0,5580,1618,3960,70,2790,2992,5948,130,0,0,0,0,0,2844
000120251205H113942213462aczN_L-P-KRNM.05,81,81,94.62824478599941,[],[],[],[],0,0,2.9405782697722316e-07,2890,5780,0,5780,2822,2954,418,2890,4398,8756,140,0,0,0,0,0,4238
000020251205H113942142818qBUX_L-Po-PrMwz.00,82,82,73.83141860499745,[],[],[],[],0,0,2.6323815451606233e-07,2884,5768,0,5768,1632,4136,30,2884,3006,5976,144,0,0,0,0,0,2844
000020251205H113942142818qBUX_LitaAgentY-LitaAgentN-Pu8x.00,82,82,79.05090213700169,[],[],[],[],0,0,2.857645192895742e-07,2976,5952,0,5952,1640,4306,16,2976,3014,5992,118,0,0,0,0,0,2878
000120251205H113942213462aczN_L-X-OCdc.05,81,81,118.53476736699668,[],[],[],[],0,0,2.5447019759346464e-07,2918,5836,0,5836,2892,2944,248,2918,4468,8896,154,0,0,0,0,0,4294
000020251205H113942142818qBUX_L-U-OS9J.02,82,82,69.13674957200419,[],[],[],[],0,0,2.9199873097240925e-07,2560,5120,0,5120,1516,3604,186,2560,2890,5744,160,0,0,0,0,0,2712
